,srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool,day_part,season,diff_usd,diff_starrating,prop_starrating|srch_id_normalized,prop_review_score|srch_id_normalized,prop_location_score1|srch_id_normalized,prop_location_score2|srch_id_normalized,price_usd|srch_id_normalized,orig_destination_distance|srch_id_normalized
0,106,2013-06-17 09:20:02,5,219,,,219,73,2,3.5,1,2.77,0.3309,0.0,6,81.0,1,25427,1,24,2,2,1,1,,155.4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,2,3,,,0.6666666666666666,0.7777777777777778,0.958477508650519,0.7294910527538927,0.08108108108108109,0.5111371629542795
1,106,2013-06-17 09:20:02,5,219,,,219,13493,0,3.0,0,2.64,0.0447,0.0,15,104.0,0,25427,1,24,2,2,1,1,,156.14,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,2,3,,,0.0,0.6666666666666666,0.9134948096885813,0.06437369277248431,0.2882882882882883,0.5400547088706522
2,106,2013-06-17 09:20:02,5,219,,,219,18369,2,3.5,1,2.2,0.1526,0.0,8,76.0,0,25427,1,24,2,2,1,1,,156.34,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,2,3,,,0.6666666666666666,0.7777777777777778,0.7612456747404844,0.3151289797815478,0.036036036036036036,0.5478702618210242
3,106,2013-06-17 09:20:02,5,219,,,219,26913,0,4.0,0,2.89,0.048,0.0,18,72.0,0,25427,1,24,2,2,1,1,,155.74,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,2,3,,,0.0,0.8888888888888888,1.0,0.07204276086451314,0.0,0.5244236029699106
4,106,2013-06-17 09:20:02,5,219,,,219,39675,3,4.5,0,2.56,0.4089,0.0,2,180.0,1,25427,1,24,2,2,1,1,,155.61,0,,,,,,,,,,,,,,,,,,,,,,,,,1,171.64,1,2,3,,,1.0,1.0,0.8858131487889274,0.9107599349291192,0.972972972972973,0.5193434935521696
5,106,2013-06-17 09:20:02,5,219,,,219,57273,2,3.0,1,2.64,0.3487,0.0,12,86.0,0,25427,1,24,2,2,1,1,,155.39,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,,0,2,3,,,0.6666666666666666,0.6666666666666666,0.9134948096885813,0.7708575412502906,0.12612612612612611,0.5107463853067601
6,106,2013-06-17 09:20:02,5,219,,,219,57494,2,3.5,1,2.56,0.4473,0.0,9,120.0,0,25427,1,24,2,2,1,1,,155.49,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,2,3,,,0.6666666666666666,0.7777777777777778,0.8858131487889274,1.0,0.43243243243243246,0.5146541617819467
7,106,2013-06-17 09:20:02,5,219,,,219,65899,3,4.5,1,1.1,0.1803,0.0,4,153.0,0,25427,1,24,2,2,1,1,,154.13,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,2,3,,,1.0,1.0,0.3806228373702422,0.3795026725540321,0.7297297297297297,0.4615084017194217
8,106,2013-06-17 09:20:02,5,219,,,219,67981,3,4.0,1,1.1,0.1824,0.0,3,129.0,0,25427,1,24,2,2,1,1,,154.14,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,2,3,,,1.0,0.8888888888888888,0.3806228373702422,0.3843829886125959,0.5135135135135135,0.46189917936693986
9,106,2013-06-17 09:20:02,5,219,,,219,68207,2,3.5,0,0.0,,0.0,21,89.0,0,25427,1,24,2,2,1,1,,142.32,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,2,3,,,0.6666666666666666,0.7777777777777778,0.0,,0.15315315315315314,0.0
