,srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool,prop_starrating|srch_id_standardized,prop_review_score|srch_id_standardized,prop_location_score1|srch_id_standardized,prop_location_score2|srch_id_standardized,price_usd|srch_id_standardized,orig_destination_distance|srch_id_standardized
0,106,2013-06-17 09:20:02,5,219,,,219,73,2,3.5,1,2.77,0.3309,0.0,6,81.0,1,25427,1,24,2,2,1,1,,155.4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.284961414088,0.131868450353,0.899778909472,0.858495543843,-0.923565145572,-0.148808677166
1,106,2013-06-17 09:20:02,5,219,,,219,13493,0,3.0,0,2.64,0.0447,0.0,15,104.0,0,25427,1,24,2,2,1,1,,156.14,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,-1.51979420847,-0.369231660988,0.730255346818,-0.988605829243,-0.252021104615,-0.0055038825801
2,106,2013-06-17 09:20:02,5,219,,,219,18369,2,3.5,1,2.2,0.1526,0.0,8,76.0,0,25427,1,24,2,2,1,1,,156.34,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.284961414088,0.131868450353,0.156483288604,-0.292231831493,-1.06955298056,0.0332271429835
3,106,2013-06-17 09:20:02,5,219,,,219,26913,0,4.0,0,2.89,0.048,0.0,18,72.0,0,25427,1,24,2,2,1,1,,155.74,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,-1.51979420847,0.632968561694,1.05626219808,-0.967308014669,-1.18634324855,-0.0829659337074
4,106,2013-06-17 09:20:02,5,219,,,219,39675,3,4.5,0,2.56,0.4089,0.0,2,180.0,1,25427,1,24,2,2,1,1,,155.61,0,,,,,,,,,,,,,,,,,,,,,,,,,1,171.64,1,1.18733922536,1.13406867303,0.625933154416,1.36189843378,1.96699398724,-0.108141100324
5,106,2013-06-17 09:20:02,5,219,,,219,57273,2,3.0,1,2.64,0.3487,0.0,12,86.0,0,25427,1,24,2,2,1,1,,155.39,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,,0,0.284961414088,-0.369231660988,0.730255346818,0.973374664881,-0.777577310581,-0.150745228444
6,106,2013-06-17 09:20:02,5,219,,,219,57494,2,3.5,1,2.56,0.4473,0.0,9,120.0,0,25427,1,24,2,2,1,1,,155.49,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.284961414088,0.131868450353,0.625933154416,1.60972754883,0.215139967354,-0.131379715662
7,106,2013-06-17 09:20:02,5,219,,,219,65899,3,4.5,1,1.1,0.1803,0.0,4,153.0,0,25427,1,24,2,2,1,1,,154.13,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1.18733922536,1.13406867303,-1.27794685693,-0.113459266733,1.17865967829,-0.394750689495
8,106,2013-06-17 09:20:02,5,219,,,219,67981,3,4.0,1,1.1,0.1824,0.0,3,129.0,0,25427,1,24,2,2,1,1,,154.14,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1.18733922536,0.632968561694,-1.27794685693,-0.0999061120034,0.477918070337,-0.392814138216
9,106,2013-06-17 09:20:02,5,219,,,219,68207,2,3.5,0,0.0,,0.0,21,89.0,0,25427,1,24,2,2,1,1,,142.32,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.284961414088,0.131868450353,-2.71237700247,,-0.689984609587,-2.68181774903
10,106,2013-06-17 09:20:02,5,219,,,219,73860,2,3.0,0,1.39,0.1244,0.0,13,129.0,0,25427,1,24,2,2,1,1,,154.4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.284961414088,-0.369231660988,-0.899778909472,-0.474231337856,0.477918070337,-0.342463804984
11,106,2013-06-17 09:20:02,5,219,,,219,73927,2,4.5,1,1.79,,0.0,20,109.0,0,25427,1,24,2,2,1,1,,167.75,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0,0.284961414088,1.13406867303,-0.378167947459,,-0.106033269625,2.24283215139
12,106,2013-06-17 09:20:02,5,219,,,219,84698,0,4.0,1,1.61,0.0559,0.0,14,122.0,0,25427,1,24,2,2,1,1,,157.13,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,-1.51979420847,0.632968561694,-0.612892880365,-0.916322337354,0.273535101351,0.18621469396
13,106,2013-06-17 09:20:02,5,219,,,219,92570,3,3.5,1,2.56,0.4409,0.0,1,119.0,1,25427,1,24,2,2,1,1,,155.53,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,1.18733922536,0.131868450353,0.625933154416,1.56842269632,0.185942400356,-0.123633510549
14,106,2013-06-17 09:20:02,5,219,,,219,112905,2,0.0,0,2.71,,0.0,7,183.0,0,25427,1,24,2,2,1,1,,156.08,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,0.284961414088,-3.37583232903,0.82153726517,,2.05458668824,-0.0171231902492
15,106,2013-06-17 09:20:02,5,219,,,219,113470,2,2.5,0,1.79,,0.0,22,90.0,0,25427,1,24,2,2,1,1,,167.91,0,,,,,,,,,,,,,-1.0,0.0,8.0,,,,,,,,,,0,,0,0.284961414088,-0.870331772329,-0.378167947459,,-0.660787042589,2.27381697184
16,106,2013-06-17 09:20:02,5,219,,,219,116934,0,3.5,0,2.08,0.017,0.0,16,143.0,0,25427,1,24,2,2,1,1,,155.14,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,-1.51979420847,0.131868450353,5.79104499924e-16,-1.167378394,0.886684008311,-0.199159010398
17,106,2013-06-17 09:20:02,5,219,,,219,123847,2,3.0,1,2.3,0.1167,0.0,10,74.0,0,25427,1,24,2,2,1,1,,156.59,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.284961414088,-0.369231660988,0.286886029107,-0.52392623853,-1.12794811456,0.0816409249381
18,106,2013-06-17 09:20:02,5,219,,,219,140700,0,3.0,0,2.83,0.0695,0.0,19,81.0,0,25427,1,24,2,2,1,1,,155.97,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,-1.51979420847,-0.369231660988,0.978020553774,-0.828549525775,-0.923565145572,-0.0384252543092
19,685,2013-03-07 21:41:56,32,220,,,103,4115,0,4.5,1,2.48,0.2242,4.71,8,170.45,0,6854,1,7,3,0,1,1,,1378.86,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,-1.99538638371,0.503952630679,0.577102928973,1.21939830803,1.01078515766,-0.453660059495
20,685,2013-03-07 21:41:56,32,220,,,103,45559,4,3.5,1,2.48,0.2163,4.76,1,135.54,0,6854,1,7,3,0,1,1,,1378.89,0,,,,,,,,,,,,,,,,,,,,,,,,,1,135.13,1,0.332564397284,-0.0839921051132,0.577102928973,1.00457598744,0.251912169313,-0.365448381259
21,685,2013-03-07 21:41:56,32,220,,,103,52224,5,5.0,0,1.39,0.1803,4.97,4,87.28,0,6854,1,7,3,0,1,1,,1379.46,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.914552092532,0.797924998575,-2.01307080518,0.0256388303059,-0.797162892785,1.31057350521
22,685,2013-03-07 21:41:56,32,220,,,103,108891,5,4.5,0,2.48,0.1487,4.97,6,199.2,0,6854,1,7,3,0,1,1,,1378.64,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.914552092532,0.503952630679,0.577102928973,-0.833650452067,1.63575217041,-1.10054569988
23,685,2013-03-07 21:41:56,32,220,,,103,117735,3,3.5,0,1.95,0.125,4.6,3,91.39,0,6854,1,7,3,0,1,1,,1378.65,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,-0.249423297963,-0.0839921051132,-0.682339345433,-1.47811741385,-0.70781978244,-1.07114180714
24,685,2013-03-07 21:41:56,32,220,,,103,120587,3,0.0,0,2.48,0.16,4.6,7,80.09,0,6854,1,7,3,0,1,1,,1379.4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,-0.249423297963,-2.14179868039,0.577102928973,-0.526372955522,-0.95345899093,1.13415014874
25,685,2013-03-07 21:41:56,32,220,,,103,129254,4,4.5,0,2.4,0.201,4.76,2,103.71,0,6854,1,7,3,0,1,1,,1379.2,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,0.332564397284,0.503952630679,0.386998434723,0.588527695658,-0.440007831237,0.546072293836
26,803,2013-03-25 19:43:44,5,219,,,219,14082,4,4.0,1,4.29,0.239,5.36,20,70.0,0,8192,1,7,2,0,1,0,,224.31,1,,,,0.0,0.0,14.0,0.0,0.0,,,,,0.0,0.0,42.0,,,,,,,0.0,0.0,14.0,1,,0,0.0330082892159,-0.155855722561,0.77928246238,0.463255662984,-0.40691965548,-0.275975858836
27,803,2013-03-25 19:43:44,5,219,,,219,21018,4,4.0,1,3.43,0.1043,5.48,1,70.0,1,8192,1,7,2,0,1,0,,223.4,1,,,,0.0,0.0,,0.0,0.0,6.0,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0,0.0330082892159,-0.155855722561,-1.97832804664,-1.22948395685,-0.40691965548,-1.39289702337
28,803,2013-03-25 19:43:44,5,219,,,219,24545,4,4.0,0,4.04,0.278,5.22,35,79.0,0,8192,1,7,2,0,1,0,,223.87,1,,,,,,,-1.0,0.0,19.0,,,,-1.0,0.0,19.0,,,,,,,-1.0,0.0,19.0,0,,0,0.0330082892159,-0.155855722561,-0.0223484995446,0.953358448237,-0.253938468546,-0.816025652678
