,srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool,hour,month,diff_usd,diff_starrating
2093,136,2013-04-04 18:43:37,5,219,,,219,805,2,3.0,1,2.71,0.2419,4.79,13,59.0,0,6767,2,15,2,2,1,1,,164.58,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
2094,136,2013-04-04 18:43:37,5,219,,,219,1182,2,4.0,0,1.39,0.0849,4.62,2,82.0,1,6767,2,15,2,2,1,1,,162.75,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
2095,136,2013-04-04 18:43:37,5,219,,,219,1284,3,4.5,0,0.0,0.0152,4.71,30,68.0,0,6767,2,15,2,2,1,1,,152.65,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
2096,136,2013-04-04 18:43:37,5,219,,,219,2285,2,4.5,0,2.83,0.0607,4.83,8,88.0,0,6767,2,15,2,2,1,1,,165.23,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
2097,136,2013-04-04 18:43:37,5,219,,,219,13608,2,4.5,1,2.71,,5.28,18,99.0,0,6767,2,15,2,2,1,1,,164.73,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
2098,136,2013-04-04 18:43:37,5,219,,,219,24534,3,4.0,1,2.71,0.0841,4.72,21,84.0,0,6767,2,15,2,2,1,1,,164.76,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
2099,136,2013-04-04 18:43:37,5,219,,,219,29094,2,1.0,1,2.71,,4.81,20,79.0,0,6767,2,15,2,2,1,1,,164.68,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
2100,136,2013-04-04 18:43:37,5,219,,,219,35226,3,4.0,0,0.0,0.0455,5.14,1,122.0,0,6767,2,15,2,2,1,1,,163.39,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
2101,136,2013-04-04 18:43:37,5,219,,,219,43395,2,4.0,1,2.64,0.1519,4.47,19,48.0,0,6767,2,15,2,2,1,1,,164.46,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
2102,136,2013-04-04 18:43:37,5,219,,,219,46489,2,3.5,1,1.61,0.0478,4.76,28,55.0,0,6767,2,15,2,2,1,1,,162.11,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
2103,136,2013-04-04 18:43:37,5,219,,,219,53118,2,4.0,1,2.71,0.2564,5.0,9,50.0,0,6767,2,15,2,2,1,1,,164.5,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,18,4,,
2104,136,2013-04-04 18:43:37,5,219,,,219,59549,3,2.5,1,1.61,0.0783,4.96,12,74.0,0,6767,2,15,2,2,1,1,,165.82,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
2105,136,2013-04-04 18:43:37,5,219,,,219,59928,3,4.5,1,1.61,0.0998,4.85,7,116.0,0,6767,2,15,2,2,1,1,,165.57,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
2106,136,2013-04-04 18:43:37,5,219,,,219,68004,2,3.0,1,0.69,,4.62,26,56.0,1,6767,2,15,2,2,1,1,,161.34,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
2107,136,2013-04-04 18:43:37,5,219,,,219,69951,3,4.0,1,1.61,0.0872,4.97,16,109.0,0,6767,2,15,2,2,1,1,,165.43,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
2108,136,2013-04-04 18:43:37,5,219,,,219,75245,1,2.5,1,2.71,0.1021,4.07,6,40.0,0,6767,2,15,2,2,1,1,,164.24,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
2109,136,2013-04-04 18:43:37,5,219,,,219,80768,3,4.0,1,1.39,0.0879,4.55,4,64.0,1,6767,2,15,2,2,1,1,,162.81,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,18,4,,
